speaker,season,episode,episode_code,episode_title,line_count,word_count
House,1,1,01x01,Pilot,146,2357
Foreman,1,1,01x01,Pilot,70,814
Rebecca,1,1,01x01,Pilot,53,478
Cameron,1,1,01x01,Pilot,52,512
Wilson,1,1,01x01,Pilot,41,393
Cuddy,1,1,01x01,Pilot,40,453
Chase,1,1,01x01,Pilot,32,334
Sidney,1,1,01x01,Pilot,10,68
Melanie,1,1,01x01,Pilot,7,67
Orange Guy,1,1,01x01,Pilot,7,75
Class,1,1,01x01,Pilot,5,13
Guy,1,1,01x01,Pilot,5,45
Female Dr On Mini Tv,1,1,01x01,Pilot,3,14
Nurse,1,1,01x01,Pilot,3,26
Little Boy,1,1,01x01,Pilot,2,8
Male Dr On Mini Tv,1,1,01x01,Pilot,2,7
Mother,1,1,01x01,Pilot,2,28
Boy,1,1,01x01,Pilot,1,5
Girl 2,1,1,01x01,Pilot,1,11
Singing,1,1,01x01,Pilot,1,17
House,1,6,01x06,The Socratic Method,131,2559
Luke,1,6,01x06,The Socratic Method,55,558
Foreman,1,6,01x06,The Socratic Method,34,410
Chase,1,6,01x06,The Socratic Method,32,408
Cameron,1,6,01x06,The Socratic Method,31,281
Wilson,1,6,01x06,The Socratic Method,30,297
Lucy,1,6,01x06,The Socratic Method,27,228
Cuddy,1,6,01x06,The Socratic Method,14,199
Social Worker,1,6,01x06,The Socratic Method,9,79
Er Doc,1,6,01x06,The Socratic Method,8,146
Mom,1,6,01x06,The Socratic Method,5,51
Wyeth,1,6,01x06,The Socratic Method,5,70
Bergen,1,6,01x06,The Socratic Method,2,45
Patient,1,6,01x06,The Socratic Method,2,7
Voice,1,6,01x06,The Socratic Method,2,30
Daughter,1,6,01x06,The Socratic Method,1,5
Er Voice-over,1,6,01x06,The Socratic Method,1,16
Pa,1,6,01x06,The Socratic Method,1,9
House,1,7,01x07,Fidelity,136,1856
Cameron,1,7,01x07,Fidelity,90,846
Foreman,1,7,01x07,Fidelity,57,614
Ed,1,7,01x07,Fidelity,50,400
Elise,1,7,01x07,Fidelity,33,241
Chase,1,7,01x07,Fidelity,32,279
Wilson,1,7,01x07,Fidelity,31,312
Mrs Campbell,1,7,01x07,Fidelity,18,107
Friend,1,7,01x07,Fidelity,10,137
