speaker,season,line_count,word_count,episode_count
House,1,2320,34647,18
Foreman,1,883,9287,18
Chase,1,713,7399,18
Cameron,1,708,7032,17
Wilson,1,457,5105,17
Cuddy,1,378,4254,18
Stacy,1,127,1427,2
Vogler,1,120,2080,5
Mom,1,91,808,3
Bill,1,60,714,1
Senator,1,59,731,1
Luke,1,55,558,1
Mark,1,55,505,2
Rebecca,1,53,478,1
Ed,1,50,400,1
Naomi,1,46,365,1
Sean,1,46,306,1
Caring,1,43,305,1
Carly,1,42,525,1
Hank,1,42,401,1
Lola,1,40,433,1
Sarah,1,38,343,2
Dad,1,37,362,1
Rowan,1,37,255,1
Jeffery,1,35,395,1
Gabe,1,34,236,1
Elise,1,33,241,1
Jessica,1,33,222,1
Keith,1,31,158,1
Mary,1,31,268,1
Harvey,1,30,251,1
Rebellious,1,28,232,1
Lucy,1,27,228,1
Georgia,1,25,349,1
Keen,1,21,225,1
Lucille,1,21,192,1
Victoria,1,21,179,1
Joey,1,19,150,1
Mrs Campbell,1,18,107,1
Annette,1,17,222,1
Jane,1,17,144,1
Nurse,1,17,84,7
Pam,1,17,104,1
Ramona,1,17,189,1
Myron,1,16,133,1
Warner,1,16,224,1
John,1,15,185,1
Coach,1,14,119,1
Henry,1,14,132,1
Mr Hernandez,1,13,142,1
Patient,1,13,86,5
Everhardt,1,12,96,1
Lawyer,1,11,106,1
Tommy,1,11,138,2
Brenda,1,10,75,3
Farmer,1,10,76,1
Friend,1,10,137,1
Officer,1,10,67,1
Sidney,1,10,68,1
Rachel,1,9,55,1
Social Worker,1,9,79,1
Student 1,1,9,85,1
Brandy,1,8,89,1
Bryan,1,8,40,1
Dave,1,8,32,1
Er Doc,1,8,146,1
Joel,1,8,78,1
Lim,1,8,30,1
Robin,1,8,46,1
Student 2,1,8,52,1
Teacher,1,8,48,1
Dr Gilmar,1,7,96,1
Dr Spain,1,7,57,1
Late 30s Man,1,7,42,1
Matt,1,7,46,1
Melanie,1,7,67,1
Orange Guy,1,7,75,1
Other Kid,1,7,34,1
Sharon,1,7,103,1
Some Guy,1,7,40,1
Bus Driver,1,6,99,1
Hourani,1,6,33,1
Jacques,1,6,99,1
Mr Carroll,1,6,29,1
Policeman,1,6,69,1
Union Guy,1,6,89,1
Class,1,5,13,1
Girl,1,5,32,1
Guy,1,5,45,1
Jenny,1,5,36,1
Jodi,1,5,43,1
Marshall,1,5,31,1
Mr Conroy,1,5,61,1
Ms Ayers,1,5,43,1
Pharmacist,1,5,43,2
Ricky,1,5,20,1
Simpson,1,5,48,1
Wyeth,1,5,70,1
Anesthesiologist,1,4,25,2
Boardmember,1,4,46,1
Bouncer,1,4,23,1
Chi's Dad,1,4,26,1
