speaker,line_count,word_count,episode_count,season_count
House,21088,295100,171,8
Foreman,6683,72644,163,8
Chase,5041,52844,159,8
Wilson,4895,55333,165,8
Cuddy,3910,42775,147,7
Cameron,3828,38522,101,7
Taub,3468,37467,92,5
Thirteen,2089,22691,56,5
Kutner,1123,11578,34,3
Adams,836,9287,21,1
Park,677,7107,21,1
Masters,662,7442,14,2
Amber,487,4627,17,3
Stacy,467,5156,10,3
Lucas,203,2932,9,2
Nolan,194,3170,5,2
Lee,170,1395,3,3
Jack,151,1844,5,4
Patient,151,1111,18,6
Mom,149,1256,9,4
Dad,141,1151,8,3
Sarah,138,1350,9,5
Sam,137,1414,9,4
Alvie,136,1855,3,1
Nick,136,1687,5,4
Rachel,133,1328,17,5
Nurse,121,810,57,8
Vogler,120,2080,5,1
Tritter,118,1859,6,1
Arlene,116,1381,4,2
Bill,114,1179,4,4
Gabe,109,1247,3,3
Eve,109,651,2,2
Hannah,104,822,2,2
Henry,102,1001,4,4
Cofield,96,1509,1,1
Alice,96,825,2,2
Joe,95,1122,3,3
Jason,95,825,1,1
Cate,94,937,1,1
Ted,93,738,2,2
Mark,92,812,6,3
Jeff,90,884,3,3
Woman,90,735,22,8
Cole,89,677,4,1
Sebastian,86,1384,1,1
Dominika,83,949,6,2
Nicole,83,572,3,2
George,81,968,4,4
Natalie,78,826,2,2
Emily,76,663,6,4
Hank,75,901,2,2
Eddie,73,711,2,2
Doug,71,704,4,3
Moira,71,666,1,1
Jane,71,511,2,2
Sean,70,481,2,2
Valerie,67,840,1,1
Daniel,67,720,1,1
Ken,66,706,2,2
Evan,66,648,3,3
John,65,760,4,4
Scott,64,743,2,2
Nate,64,574,1,1
Stevie,63,513,1,1
Elizabeth,62,805,3,3
Roy,62,553,2,1
Will,60,847,2,2
Anica,60,455,1,1
Bob,59,759,3,3
Frankie,59,752,2,2
Senator,59,731,1,1
Alex,59,581,3,2
Emma,59,561,1,1
Colleen,59,520,1,1
Jeremy,59,512,2,2
Mickey,58,681,2,2
Tucker,58,631,1,1
Hanna,58,375,1,1
Lupe,57,698,1,1
Travis Brennan,57,520,2,1
Man,56,819,16,8
Boyd,56,673,1,1
Julia,56,642,4,2
Melanie,56,564,3,3
Luke,56,561,2,2
Vince,55,637,2,2
Beasley,55,593,2,1
Irene Walesa,55,410,1,1
Danny,54,685,1,1
Ben Prosner,54,453,1,1
Maria,54,399,2,2
Kelly,53,577,1,1
Sophia,53,551,1,1
Kalvin,53,490,1,1
Rebecca,53,478,1,1
Sidas,52,667,1,1
Tommy,52,654,4,3
Carnell,51,432,2,2
Amy,51,354,3,3
Nadia,50,503,1,1
Brennan,50,494,2,1
Ed,50,400,1,1
Finn,49,583,1,1
Greta,49,530,2,2
Zack,49,474,1,1
Barbara,49,472,1,1
Lou,48,531,1,1
Cam,48,465,1,1
Abbey,48,433,1,1
Molly,48,407,4,2
Robin,48,221,2,2
Edie,47,428,1,1
Naomi,47,366,2,2
Emmy,46,568,1,1
Maggie,46,425,1,1
Jeffrey Cole,46,287,2,1
Deran,45,481,1,1
Donald,45,397,2,2
Rob,45,379,1,1
Melinda,45,356,2,2
Samira Terzi,43,392,1,1
Caring,43,305,1,1
Derek,43,300,2,2
Carly,42,525,1,1
Esteban,42,390,1,1
Benjamin,41,604,1,1
Lydia,41,526,2,1
Ramon,41,445,1,1
Crandall,41,390,1,1
Surgeon,41,327,17,7
Dr Obyedkov,41,324,1,1
Alfredo,41,304,1,1
Lola,40,433,1,1
Becca,40,401,1,1
Billy,40,400,2,2
Melissa,40,332,2,2
Yonatan Arnoff,40,316,1,1
Max,40,289,1,1
Bobby,39,571,3,2
Doctor,39,473,15,6
Simon,39,404,2,2
Jerry,39,305,3,3
Brant,38,572,1,1
Clarence,38,465,1,1
William,38,369,2,2
Lida,38,349,1,1
