show,season,episode,episode_code,episode_title,url,html_file,status,reason,num_raw_lines,num_dialogue_lines,num_unique_speakers,unique_speakers,falseish_examples
House M.D.,1,1,01x01,Pilot,https://transcripts.foreverdreaming.org/viewtopic.php?t=33324,s01e01_pilot_t33324.html,usable,,579,483,20,Boy|Cameron|Chase|Class|Cuddy|Female Dr On Mini Tv|Foreman|Girl 2|Guy|House|Little Boy|Male Dr On Mini Tv|Melanie|Mother|Nurse|Orange Guy|Rebecca|Sidney|Singing|Wilson,
House M.D.,1,2,01x02,Paternity,https://transcripts.foreverdreaming.org/viewtopic.php?t=40918,s01e02_paternity_t40918.html,skipped,Only 1 speaker-tagged lines found; threshold is 50.,919,1,1,Proves Two Things,The likelihood of a false negative on an R.P.R. test: 30%. || Likelihood of a 16-year-old having sex: roughly 120%.
House M.D.,1,3,01x03,Occam's Razor,https://transcripts.foreverdreaming.org/viewtopic.php?t=40946,s01e03_occam_s_razor_t40946.html,skipped,Only 0 speaker-tagged lines found; threshold is 50.,867,0,0,,
House M.D.,1,4,01x04,Maternity,https://transcripts.foreverdreaming.org/viewtopic.php?t=41166,s01e04_maternity_t41166.html,skipped,Only 2 speaker-tagged lines found; threshold is 50.,785,2,2,Exhibit A|Exhibit B,
House M.D.,1,5,01x05,Damned if You Do,https://transcripts.foreverdreaming.org/viewtopic.php?t=41388,s01e05_damned_if_you_do_t41388.html,skipped,Only 2 speaker-tagged lines found; threshold is 50.,865,2,2,And I Learned Two Things|It's A Good Strategy,
House M.D.,1,6,01x06,The Socratic Method,https://transcripts.foreverdreaming.org/viewtopic.php?t=42785,s01e06_the_socratic_method_t42785.html,usable,,459,390,18,Bergen|Cameron|Chase|Cuddy|Daughter|Er Doc|Er Voice-over|Foreman|House|Lucy|Luke|Mom|Pa|Patient|Social Worker|Voice|Wilson|Wyeth,
House M.D.,1,7,01x07,Fidelity,https://transcripts.foreverdreaming.org/viewtopic.php?t=42786,s01e07_fidelity_t42786.html,usable,,518,472,13,Cameron|Chase|Cuddy|Ed|Elise|Foreman|Friend|House|Jacques|Little Boy|Mrs Campbell|Nurse|Wilson,
House M.D.,1,8,01x08,Poison,https://transcripts.foreverdreaming.org/viewtopic.php?t=42787,s01e08_poison_t42787.html,usable,,489,428,21,Bus Driver|Cameron|Chase|Chi's Dad|Chi's Mom|Cuddy|Foreman|Forman|Georgia|Girl|Girl 1|House|House & Foreman Together|Mark|Matt|Matt's Hallucination Of His Teacher|Mom|Nurse|Real Teacher|Teacher|Wilson,
House M.D.,1,9,01x09,DNR,https://transcripts.foreverdreaming.org/viewtopic.php?t=42788,s01e09_dnr_t42788.html,usable,,99,89,9,Brandy|Cameron|Chase|Cora|Cuddy|Foreman|House|John|Tommy,
House M.D.,1,10,01x10,Histories,https://transcripts.foreverdreaming.org/viewtopic.php?t=42789,s01e10_histories_t42789.html,usable,,551,464,25,Angela|Bouncer|Cameron|Chase|Cuddy|Emt|Foreman|Homeless Man|House|Jane|Jane Doe|Jodi|Nurse|Patient|Policeman|Policeman 1|Policeman 2|Shelley|Short Girl|Student 1|Student 2|Students|Tall Girl|Victoria|Wilson,
House M.D.,1,11,01x11,Detox,https://transcripts.foreverdreaming.org/viewtopic.php?t=42790,s01e11_detox_t42790.html,usable,,560,506,14,Anesthesiologist|Cameron|Chase|Cuddy|Dad|Dr Hourani|Foreman|Hourani|House|Keith|Pam|Pharmacist|Wilson|Woman,
House M.D.,1,12,01x12,Sport Medicine,https://transcripts.foreverdreaming.org/viewtopic.php?t=42791,s01e12_sport_medicine_t42791.html,usable,,501,443,17,Bryan|Cameron|Cameron's Voice|Carol|Chase|Cuddy|Dentist|Foreman|Hank|House|Lola|Man|Nurse|Sharon|Student|Warner|Wilson,
House M.D.,1,13,01x13,Cursed,https://transcripts.foreverdreaming.org/viewtopic.php?t=42792,s01e13_cursed_t42792.html,usable,,516,465,18,Blonde|Both Kids|Cabbie|Cameron|Chase|Cuddy|Dave|Diagnosis|Foreman|Gabe|House|Jeffery|Other Kid|Patient|Rowan|Sarah|Tommy|Wilson,
House M.D.,1,14,01x14,Control,https://transcripts.foreverdreaming.org/viewtopic.php?t=42793,s01e14_control_t42793.html,usable,,392,348,17,Ben|Boardmember|Cameron|Carly|Chase|Cuddy|Foreman|House|Jenny|Rick|Ricky|Robin|Simpson|Surgeon|Tech|Vogler|Wilson,
House M.D.,1,15,01x15,Mob Rules,https://transcripts.foreverdreaming.org/viewtopic.php?t=42794,s01e15_mob_rules_t42794.html,usable,,477,435,13,Bill|Cameron|Chase|Cuddy|Everhardt|Foreman|Henry|House|Joey|Marshall|Paramedic|Vogler|Wilson,
House M.D.,1,16,01x16,Heavy,https://transcripts.foreverdreaming.org/viewtopic.php?t=42795,s01e16_heavy_t42795.html,usable,,612,507,18,Cameron|Cashier|Chase|Clementine|Cuddy|Foreman|House|Jessica|Lucille|Mom|Mom's Voice|Mr Conroy|Mr Hernandez|Ms Ayers|Seth|Some Classmate|Vogler|Wilson,
House M.D.,1,17,01x17,Role Model,https://transcripts.foreverdreaming.org/viewtopic.php?t=42796,s01e17_role_model_t42796.html,usable,,433,385,13,Cameron|Chase|Clinic Nurse|Cuddy|Foreman|House|Sarah|Senator|Staffer|Union Guy|Various Staffers|Vogler|Wilson,
House M.D.,1,18,01x18,Babies & Bathwater,https://transcripts.foreverdreaming.org/viewtopic.php?t=42797,s01e18_babies_bathwater_t42797.html,usable,,511,473,19,Anesthesiologist|Chase|Cuddy|Dr Simpson|Female Doctor|Foreman|Foreman's Voice|House|Joel|Lim|Ms Friedman|Naomi|Officer|Patient|Prather|Rachel|Sean|Vogler|Wilson,
House M.D.,1,19,01x19,Kids,https://transcripts.foreverdreaming.org/viewtopic.php?t=42798,s01e19_kids_t42798.html,usable,,494,437,21,A Coach|Announcer|Brenda|Cameron|Chase|Coach|Cuddy|Dr Gilmar|Dr Marks|Dr Spain|Foreman|House|Kid|Mary|Mr Carroll|Mrs Carroll|Nurse|Overhead Speaker Voice|Patient|Person|Wilson,
