source,target,season,episode,episode_code,episode_title,weight
Foreman,House,1,1,01x01,Pilot,62
Cuddy,House,1,1,01x01,Pilot,61
Cameron,House,1,1,01x01,Pilot,42
House,Wilson,1,1,01x01,Pilot,36
Cameron,Foreman,1,1,01x01,Pilot,33
Chase,Rebecca,1,1,01x01,Pilot,22
Rebecca,Wilson,1,1,01x01,Pilot,20
House,Rebecca,1,1,01x01,Pilot,18
Cameron,Chase,1,1,01x01,Pilot,14
Melanie,Rebecca,1,1,01x01,Pilot,13
Foreman,Wilson,1,1,01x01,Pilot,13
Foreman,Sidney,1,1,01x01,Pilot,12
Chase,House,1,1,01x01,Pilot,9
Guy,House,1,1,01x01,Pilot,9
Class,Rebecca,1,1,01x01,Pilot,8
Chase,Foreman,1,1,01x01,Pilot,6
House,Orange Guy,1,1,01x01,Pilot,5
Cameron,Rebecca,1,1,01x01,Pilot,5
Cuddy,Orange Guy,1,1,01x01,Pilot,5
Rebecca,Sidney,1,1,01x01,Pilot,4
Cuddy,Rebecca,1,1,01x01,Pilot,4
House,Mother,1,1,01x01,Pilot,3
Female Dr On Mini Tv,Male Dr On Mini Tv,1,1,01x01,Pilot,3
House,Little Boy,1,1,01x01,Pilot,2
Chase,Wilson,1,1,01x01,Pilot,2
Class,Girl 2,1,1,01x01,Pilot,1
Girl 2,Rebecca,1,1,01x01,Pilot,1
Class,Sidney,1,1,01x01,Pilot,1
Boy,Sidney,1,1,01x01,Pilot,1
Foreman,Nurse,1,1,01x01,Pilot,1
Little Boy,Mother,1,1,01x01,Pilot,1
Cameron,Wilson,1,1,01x01,Pilot,1
Female Dr On Mini Tv,House,1,1,01x01,Pilot,1
Male Dr On Mini Tv,Wilson,1,1,01x01,Pilot,1
House,Nurse,1,1,01x01,Pilot,1
House,Luke,1,6,01x06,The Socratic Method,47
House,Wilson,1,6,01x06,The Socratic Method,38
Cameron,House,1,6,01x06,The Socratic Method,36
Foreman,House,1,6,01x06,The Socratic Method,29
House,Lucy,1,6,01x06,The Socratic Method,27
Cuddy,House,1,6,01x06,The Socratic Method,26
Chase,Foreman,1,6,01x06,The Socratic Method,20
Er Doc,Luke,1,6,01x06,The Socratic Method,14
Cameron,Chase,1,6,01x06,The Socratic Method,14
Luke,Social Worker,1,6,01x06,The Socratic Method,13
Lucy,Luke,1,6,01x06,The Socratic Method,11
Chase,House,1,6,01x06,The Socratic Method,10
House,Mom,1,6,01x06,The Socratic Method,9
Foreman,Wilson,1,6,01x06,The Socratic Method,7
Chase,Luke,1,6,01x06,The Socratic Method,6
Chase,Wyeth,1,6,01x06,The Socratic Method,5
Luke,Wyeth,1,6,01x06,The Socratic Method,5
Foreman,Lucy,1,6,01x06,The Socratic Method,4
Lucy,Social Worker,1,6,01x06,The Socratic Method,3
House,Patient,1,6,01x06,The Socratic Method,3
Bergen,Cameron,1,6,01x06,The Socratic Method,3
Social Worker,Voice,1,6,01x06,The Socratic Method,2
Er Doc,House,1,6,01x06,The Socratic Method,2
Cameron,Wilson,1,6,01x06,The Socratic Method,2
Chase,Lucy,1,6,01x06,The Socratic Method,2
Lucy,Voice,1,6,01x06,The Socratic Method,1
Luke,Wilson,1,6,01x06,The Socratic Method,1
Cameron,Luke,1,6,01x06,The Socratic Method,1
Daughter,Mom,1,6,01x06,The Socratic Method,1
Daughter,House,1,6,01x06,The Socratic Method,1
Chase,Wilson,1,6,01x06,The Socratic Method,1
Lucy,Wilson,1,6,01x06,The Socratic Method,1
Cameron,House,1,7,01x07,Fidelity,74
Foreman,House,1,7,01x07,Fidelity,45
House,Wilson,1,7,01x07,Fidelity,44
Cameron,Elise,1,7,01x07,Fidelity,42
House,Mrs Campbell,1,7,01x07,Fidelity,35
Cameron,Ed,1,7,01x07,Fidelity,24
Chase,House,1,7,01x07,Fidelity,19
Ed,Foreman,1,7,01x07,Fidelity,18
Ed,House,1,7,01x07,Fidelity,18
Ed,Friend,1,7,01x07,Fidelity,16
Chase,Foreman,1,7,01x07,Fidelity,15
Cameron,Chase,1,7,01x07,Fidelity,14
Cuddy,House,1,7,01x07,Fidelity,13
Ed,Elise,1,7,01x07,Fidelity,11
Foreman,Jacques,1,7,01x07,Fidelity,11
Cameron,Foreman,1,7,01x07,Fidelity,9
Foreman,Wilson,1,7,01x07,Fidelity,5
Chase,Wilson,1,7,01x07,Fidelity,5
Elise,Foreman,1,7,01x07,Fidelity,4
Chase,Ed,1,7,01x07,Fidelity,4
Chase,Elise,1,7,01x07,Fidelity,4
Cameron,Wilson,1,7,01x07,Fidelity,3
Cameron,Nurse,1,7,01x07,Fidelity,2
Elise,House,1,7,01x07,Fidelity,2
Cameron,Little Boy,1,7,01x07,Fidelity,2
Cuddy,Wilson,1,7,01x07,Fidelity,1
Foreman,House,1,8,01x08,Poison,54
Chase,Mom,1,8,01x08,Poison,39
Cameron,House,1,8,01x08,Poison,38
Cameron,Foreman,1,8,01x08,Poison,38
Chase,House,1,8,01x08,Poison,36
Georgia,House,1,8,01x08,Poison,34
House,Mom,1,8,01x08,Poison,20
Cameron,Mom,1,8,01x08,Poison,16
House,Mark,1,8,01x08,Poison,13
Georgia,Mark,1,8,01x08,Poison,13
House,Wilson,1,8,01x08,Poison,13
Cuddy,House,1,8,01x08,Poison,9
Chase,Foreman,1,8,01x08,Poison,8
Bus Driver,Cameron,1,8,01x08,Poison,7
Foreman,Mom,1,8,01x08,Poison,7
Girl,Teacher,1,8,01x08,Poison,6
Matt,Teacher,1,8,01x08,Poison,4
Chi's Dad,House,1,8,01x08,Poison,4
Girl 1,Teacher,1,8,01x08,Poison,2
Girl,Matt,1,8,01x08,Poison,2
Chase,Matt,1,8,01x08,Poison,2
Cameron,Chase,1,8,01x08,Poison,2
Chase,Nurse,1,8,01x08,Poison,2
Bus Driver,Chase,1,8,01x08,Poison,2
Cameron,Forman,1,8,01x08,Poison,2
Chase,Chi's Mom,1,8,01x08,Poison,2
Cameron,Matt,1,8,01x08,Poison,2
Matt,Mom,1,8,01x08,Poison,2
Matt's Hallucination Of His Teacher,Teacher,1,8,01x08,Poison,1
Matt's Hallucination Of His Teacher,Real Teacher,1,8,01x08,Poison,1
Girl,Real Teacher,1,8,01x08,Poison,1
Chase,House & Foreman Together,1,8,01x08,Poison,1
Cameron,House & Foreman Together,1,8,01x08,Poison,1
Bus Driver,House,1,8,01x08,Poison,1
Bus Driver,Mom,1,8,01x08,Poison,1
Chase,Chi's Dad,1,8,01x08,Poison,1
Chi's Dad,Foreman,1,8,01x08,Poison,1
Chi's Mom,House,1,8,01x08,Poison,1
Chase,Wilson,1,8,01x08,Poison,1
Cuddy,House,1,9,01x09,DNR,18
Foreman,House,1,9,01x09,DNR,17
Foreman,John,1,9,01x09,DNR,16
Brandy,Tommy,1,9,01x09,DNR,9
Cora,John,1,9,01x09,DNR,7
Cameron,Foreman,1,9,01x09,DNR,4
Chase,Foreman,1,9,01x09,DNR,3
Chase,House,1,9,01x09,DNR,3
Brandy,John,1,9,01x09,DNR,2
Foreman,House,1,10,01x10,Histories,64
House,Wilson,1,10,01x10,Histories,51
Foreman,Wilson,1,10,01x10,Histories,50
Foreman,Victoria,1,10,01x10,Histories,32
Chase,Foreman,1,10,01x10,Histories,20
Cuddy,House,1,10,01x10,Histories,17
Cameron,Chase,1,10,01x10,Histories,13
House,Student 1,1,10,01x10,Histories,13
Chase,House,1,10,01x10,Histories,12
House,Student 2,1,10,01x10,Histories,11
Foreman,Jane,1,10,01x10,Histories,9
House,Jodi,1,10,01x10,Histories,9
Chase,Wilson,1,10,01x10,Histories,8
Cameron,Foreman,1,10,01x10,Histories,8
Cameron,House,1,10,01x10,Histories,8
Cameron,Wilson,1,10,01x10,Histories,8
Emt,Foreman,1,10,01x10,Histories,7
House,Policeman,1,10,01x10,Histories,7
Bouncer,Jane,1,10,01x10,Histories,6
Chase,Jane,1,10,01x10,Histories,5
Cuddy,Foreman,1,10,01x10,Histories,5
House,Students,1,10,01x10,Histories,4
Jane,Tall Girl,1,10,01x10,Histories,3
Policeman 1,Policeman 2,1,10,01x10,Histories,3
Foreman,Patient,1,10,01x10,Histories,3
Cuddy,Shelley,1,10,01x10,Histories,3
Cuddy,Wilson,1,10,01x10,Histories,3
Student 1,Student 2,1,10,01x10,Histories,3
Foreman,Policeman,1,10,01x10,Histories,3
Foreman,Homeless Man,1,10,01x10,Histories,2
Bouncer,Jane Doe,1,10,01x10,Histories,1
Jane,Short Girl,1,10,01x10,Histories,1
Jane,Policeman 1,1,10,01x10,Histories,1
Jane,Wilson,1,10,01x10,Histories,1
Angela,Nurse,1,10,01x10,Histories,1
Nurse,Patient,1,10,01x10,Histories,1
House,Shelley,1,10,01x10,Histories,1
Jodi,Student 2,1,10,01x10,Histories,1
Policeman,Victoria,1,10,01x10,Histories,1
Victoria,Wilson,1,10,01x10,Histories,1
Cameron,House,1,11,01x11,Detox,64
Cuddy,House,1,11,01x11,Detox,50
House,Wilson,1,11,01x11,Detox,46
Chase,House,1,11,01x11,Detox,41
Foreman,House,1,11,01x11,Detox,36
Cameron,Dad,1,11,01x11,Detox,35
