source,target,season,episode,episode_code,episode_title,weight
Foreman,House,1,1,01x01,Pilot,33
House,Cuddy,1,1,01x01,Pilot,31
Cuddy,House,1,1,01x01,Pilot,30
House,Foreman,1,1,01x01,Pilot,29
House,Cameron,1,1,01x01,Pilot,21
Cameron,House,1,1,01x01,Pilot,21
House,Wilson,1,1,01x01,Pilot,20
Cameron,Foreman,1,1,01x01,Pilot,18
Wilson,House,1,1,01x01,Pilot,16
Foreman,Cameron,1,1,01x01,Pilot,15
Rebecca,Chase,1,1,01x01,Pilot,12
Chase,Rebecca,1,1,01x01,Pilot,10
Wilson,Rebecca,1,1,01x01,Pilot,10
Rebecca,Wilson,1,1,01x01,Pilot,10
Chase,Cameron,1,1,01x01,Pilot,9
House,Rebecca,1,1,01x01,Pilot,9
Rebecca,House,1,1,01x01,Pilot,9
Melanie,Rebecca,1,1,01x01,Pilot,7
Foreman,Wilson,1,1,01x01,Pilot,7
Rebecca,Melanie,1,1,01x01,Pilot,6
Sidney,Foreman,1,1,01x01,Pilot,6
Foreman,Sidney,1,1,01x01,Pilot,6
Wilson,Foreman,1,1,01x01,Pilot,6
Rebecca,Class,1,1,01x01,Pilot,5
Chase,House,1,1,01x01,Pilot,5
Cameron,Chase,1,1,01x01,Pilot,5
Guy,House,1,1,01x01,Pilot,5
House,Chase,1,1,01x01,Pilot,4
House,Guy,1,1,01x01,Pilot,4
Class,Rebecca,1,1,01x01,Pilot,3
Foreman,Chase,1,1,01x01,Pilot,3
Orange Guy,House,1,1,01x01,Pilot,3
Cameron,Rebecca,1,1,01x01,Pilot,3
Chase,Foreman,1,1,01x01,Pilot,3
Orange Guy,Cuddy,1,1,01x01,Pilot,3
Rebecca,Sidney,1,1,01x01,Pilot,2
Sidney,Rebecca,1,1,01x01,Pilot,2
House,Orange Guy,1,1,01x01,Pilot,2
House,Mother,1,1,01x01,Pilot,2
Rebecca,Cameron,1,1,01x01,Pilot,2
Cuddy,Rebecca,1,1,01x01,Pilot,2
Rebecca,Cuddy,1,1,01x01,Pilot,2
Cuddy,Orange Guy,1,1,01x01,Pilot,2
Male Dr On Mini Tv,Female Dr On Mini Tv,1,1,01x01,Pilot,2
Class,Girl 2,1,1,01x01,Pilot,1
Girl 2,Rebecca,1,1,01x01,Pilot,1
Class,Sidney,1,1,01x01,Pilot,1
Sidney,Boy,1,1,01x01,Pilot,1
Foreman,Nurse,1,1,01x01,Pilot,1
House,Little Boy,1,1,01x01,Pilot,1
Little Boy,House,1,1,01x01,Pilot,1
Mother,Little Boy,1,1,01x01,Pilot,1
Mother,House,1,1,01x01,Pilot,1
Wilson,Chase,1,1,01x01,Pilot,1
Chase,Wilson,1,1,01x01,Pilot,1
Wilson,Cameron,1,1,01x01,Pilot,1
Female Dr On Mini Tv,Male Dr On Mini Tv,1,1,01x01,Pilot,1
Female Dr On Mini Tv,House,1,1,01x01,Pilot,1
Wilson,Male Dr On Mini Tv,1,1,01x01,Pilot,1
Nurse,House,1,1,01x01,Pilot,1
Luke,House,1,6,01x06,The Socratic Method,25
House,Luke,1,6,01x06,The Socratic Method,22
Wilson,House,1,6,01x06,The Socratic Method,21
House,Cameron,1,6,01x06,The Socratic Method,18
Cameron,House,1,6,01x06,The Socratic Method,18
House,Wilson,1,6,01x06,The Socratic Method,17
Foreman,House,1,6,01x06,The Socratic Method,15
House,Foreman,1,6,01x06,The Socratic Method,14
House,Lucy,1,6,01x06,The Socratic Method,14
Lucy,House,1,6,01x06,The Socratic Method,13
Cuddy,House,1,6,01x06,The Socratic Method,13
House,Cuddy,1,6,01x06,The Socratic Method,13
Foreman,Chase,1,6,01x06,The Socratic Method,11
Chase,Foreman,1,6,01x06,The Socratic Method,9
Cameron,Chase,1,6,01x06,The Socratic Method,8
Luke,Social Worker,1,6,01x06,The Socratic Method,7
Luke,Er Doc,1,6,01x06,The Socratic Method,7
Er Doc,Luke,1,6,01x06,The Socratic Method,7
Social Worker,Luke,1,6,01x06,The Socratic Method,6
Lucy,Luke,1,6,01x06,The Socratic Method,6
Chase,Cameron,1,6,01x06,The Socratic Method,6
Luke,Lucy,1,6,01x06,The Socratic Method,5
House,Chase,1,6,01x06,The Socratic Method,5
Chase,House,1,6,01x06,The Socratic Method,5
House,Mom,1,6,01x06,The Socratic Method,5
Foreman,Wilson,1,6,01x06,The Socratic Method,4
Mom,House,1,6,01x06,The Socratic Method,4
Wilson,Foreman,1,6,01x06,The Socratic Method,3
Chase,Luke,1,6,01x06,The Socratic Method,3
Luke,Chase,1,6,01x06,The Socratic Method,3
Chase,Wyeth,1,6,01x06,The Socratic Method,3
Wyeth,Luke,1,6,01x06,The Socratic Method,3
Social Worker,Lucy,1,6,01x06,The Socratic Method,2
Lucy,Foreman,1,6,01x06,The Socratic Method,2
Foreman,Lucy,1,6,01x06,The Socratic Method,2
Patient,House,1,6,01x06,The Socratic Method,2
Bergen,Cameron,1,6,01x06,The Socratic Method,2
Wyeth,Chase,1,6,01x06,The Socratic Method,2
Luke,Wyeth,1,6,01x06,The Socratic Method,2
Voice,Social Worker,1,6,01x06,The Socratic Method,1
Lucy,Social Worker,1,6,01x06,The Socratic Method,1
Social Worker,Voice,1,6,01x06,The Socratic Method,1
Voice,Lucy,1,6,01x06,The Socratic Method,1
House,Er Doc,1,6,01x06,The Socratic Method,1
Er Doc,House,1,6,01x06,The Socratic Method,1
Wilson,Luke,1,6,01x06,The Socratic Method,1
Luke,Cameron,1,6,01x06,The Socratic Method,1
Mom,Daughter,1,6,01x06,The Socratic Method,1
Daughter,House,1,6,01x06,The Socratic Method,1
Chase,Wilson,1,6,01x06,The Socratic Method,1
Wilson,Cameron,1,6,01x06,The Socratic Method,1
Cameron,Wilson,1,6,01x06,The Socratic Method,1
House,Patient,1,6,01x06,The Socratic Method,1
Cameron,Bergen,1,6,01x06,The Socratic Method,1
Lucy,Wilson,1,6,01x06,The Socratic Method,1
Lucy,Chase,1,6,01x06,The Socratic Method,1
Chase,Lucy,1,6,01x06,The Socratic Method,1
House,Cameron,1,7,01x07,Fidelity,38
Cameron,House,1,7,01x07,Fidelity,36
Elise,Cameron,1,7,01x07,Fidelity,23
Foreman,House,1,7,01x07,Fidelity,23
Wilson,House,1,7,01x07,Fidelity,23
House,Foreman,1,7,01x07,Fidelity,22
House,Wilson,1,7,01x07,Fidelity,21
Cameron,Elise,1,7,01x07,Fidelity,19
Mrs Campbell,House,1,7,01x07,Fidelity,18
House,Mrs Campbell,1,7,01x07,Fidelity,17
Ed,Cameron,1,7,01x07,Fidelity,13
Cameron,Ed,1,7,01x07,Fidelity,11
Chase,House,1,7,01x07,Fidelity,10
Ed,Foreman,1,7,01x07,Fidelity,10
House,Chase,1,7,01x07,Fidelity,9
House,Ed,1,7,01x07,Fidelity,9
Ed,House,1,7,01x07,Fidelity,9
Friend,Ed,1,7,01x07,Fidelity,8
Ed,Friend,1,7,01x07,Fidelity,8
Foreman,Ed,1,7,01x07,Fidelity,8
Foreman,Chase,1,7,01x07,Fidelity,8
Cameron,Chase,1,7,01x07,Fidelity,7
Chase,Cameron,1,7,01x07,Fidelity,7
Cuddy,House,1,7,01x07,Fidelity,7
Chase,Foreman,1,7,01x07,Fidelity,7
Ed,Elise,1,7,01x07,Fidelity,6
House,Cuddy,1,7,01x07,Fidelity,6
Foreman,Jacques,1,7,01x07,Fidelity,6
Elise,Ed,1,7,01x07,Fidelity,5
Foreman,Cameron,1,7,01x07,Fidelity,5
Jacques,Foreman,1,7,01x07,Fidelity,5
Cameron,Foreman,1,7,01x07,Fidelity,4
Wilson,Foreman,1,7,01x07,Fidelity,3
Wilson,Chase,1,7,01x07,Fidelity,3
Chase,Ed,1,7,01x07,Fidelity,3
Foreman,Elise,1,7,01x07,Fidelity,2
Elise,Foreman,1,7,01x07,Fidelity,2
Foreman,Wilson,1,7,01x07,Fidelity,2
Cameron,Wilson,1,7,01x07,Fidelity,2
Chase,Wilson,1,7,01x07,Fidelity,2
Chase,Elise,1,7,01x07,Fidelity,2
Elise,Chase,1,7,01x07,Fidelity,2
Wilson,Cuddy,1,7,01x07,Fidelity,1
Wilson,Cameron,1,7,01x07,Fidelity,1
Ed,Chase,1,7,01x07,Fidelity,1
Cameron,Nurse,1,7,01x07,Fidelity,1
Nurse,Cameron,1,7,01x07,Fidelity,1
House,Elise,1,7,01x07,Fidelity,1
Elise,House,1,7,01x07,Fidelity,1
Cameron,Little Boy,1,7,01x07,Fidelity,1
Little Boy,Cameron,1,7,01x07,Fidelity,1
Foreman,House,1,8,01x08,Poison,27
House,Foreman,1,8,01x08,Poison,27
Cameron,House,1,8,01x08,Poison,21
Chase,House,1,8,01x08,Poison,20
Mom,Chase,1,8,01x08,Poison,20
Foreman,Cameron,1,8,01x08,Poison,19
Chase,Mom,1,8,01x08,Poison,19
Cameron,Foreman,1,8,01x08,Poison,19
Georgia,House,1,8,01x08,Poison,19
House,Cameron,1,8,01x08,Poison,17
House,Chase,1,8,01x08,Poison,16
House,Georgia,1,8,01x08,Poison,15
House,Mom,1,8,01x08,Poison,10
Mom,House,1,8,01x08,Poison,10
Cameron,Mom,1,8,01x08,Poison,8
Mom,Cameron,1,8,01x08,Poison,8
House,Mark,1,8,01x08,Poison,7
Mark,Georgia,1,8,01x08,Poison,7
Wilson,House,1,8,01x08,Poison,7
Georgia,Mark,1,8,01x08,Poison,6
Mark,House,1,8,01x08,Poison,6
House,Wilson,1,8,01x08,Poison,6
Foreman,Chase,1,8,01x08,Poison,5
House,Cuddy,1,8,01x08,Poison,5
Teacher,Girl,1,8,01x08,Poison,4
Cuddy,House,1,8,01x08,Poison,4
Bus Driver,Cameron,1,8,01x08,Poison,4
Foreman,Mom,1,8,01x08,Poison,4
Matt,Teacher,1,8,01x08,Poison,3
Chase,Foreman,1,8,01x08,Poison,3
Cameron,Bus Driver,1,8,01x08,Poison,3
Mom,Foreman,1,8,01x08,Poison,3
Girl,Teacher,1,8,01x08,Poison,2
Girl,Matt,1,8,01x08,Poison,2
House,Chi's Dad,1,8,01x08,Poison,2
Chi's Dad,House,1,8,01x08,Poison,2
Matt,Mom,1,8,01x08,Poison,2
Teacher,Girl 1,1,8,01x08,Poison,1
Girl 1,Teacher,1,8,01x08,Poison,1
Teacher,Matt,1,8,01x08,Poison,1
Teacher,Matt's Hallucination Of His Teacher,1,8,01x08,Poison,1
Matt's Hallucination Of His Teacher,Real Teacher,1,8,01x08,Poison,1
Real Teacher,Girl,1,8,01x08,Poison,1
Chase,Matt,1,8,01x08,Poison,1
Matt,Chase,1,8,01x08,Poison,1
Chase,Cameron,1,8,01x08,Poison,1
Chase,House & Foreman Together,1,8,01x08,Poison,1
House & Foreman Together,Cameron,1,8,01x08,Poison,1
Chase,Nurse,1,8,01x08,Poison,1
Nurse,Chase,1,8,01x08,Poison,1
House,Bus Driver,1,8,01x08,Poison,1
Bus Driver,Chase,1,8,01x08,Poison,1
Mom,Bus Driver,1,8,01x08,Poison,1
Cameron,Chase,1,8,01x08,Poison,1
Chase,Bus Driver,1,8,01x08,Poison,1
Chase,Chi's Dad,1,8,01x08,Poison,1
Chi's Dad,Foreman,1,8,01x08,Poison,1
Cameron,Forman,1,8,01x08,Poison,1
Forman,Cameron,1,8,01x08,Poison,1
House,Chi's Mom,1,8,01x08,Poison,1
Chi's Mom,Chase,1,8,01x08,Poison,1
Chase,Chi's Mom,1,8,01x08,Poison,1
Chase,Wilson,1,8,01x08,Poison,1
Matt,Cameron,1,8,01x08,Poison,1
Cameron,Matt,1,8,01x08,Poison,1
House,Cuddy,1,9,01x09,DNR,9
Cuddy,House,1,9,01x09,DNR,9
House,Foreman,1,9,01x09,DNR,9
Foreman,House,1,9,01x09,DNR,8
John,Foreman,1,9,01x09,DNR,8
Foreman,John,1,9,01x09,DNR,8
Tommy,Brandy,1,9,01x09,DNR,5
Brandy,Tommy,1,9,01x09,DNR,4
John,Cora,1,9,01x09,DNR,4
Cora,John,1,9,01x09,DNR,3
Brandy,John,1,9,01x09,DNR,2
Foreman,Chase,1,9,01x09,DNR,2
Foreman,Cameron,1,9,01x09,DNR,2
Cameron,Foreman,1,9,01x09,DNR,2
Chase,House,1,9,01x09,DNR,2
Chase,Foreman,1,9,01x09,DNR,1
House,Chase,1,9,01x09,DNR,1
House,Foreman,1,10,01x10,Histories,32
Foreman,House,1,10,01x10,Histories,32
Wilson,House,1,10,01x10,Histories,27
Wilson,Foreman,1,10,01x10,Histories,25
Foreman,Wilson,1,10,01x10,Histories,25
House,Wilson,1,10,01x10,Histories,24
Victoria,Foreman,1,10,01x10,Histories,17
Foreman,Victoria,1,10,01x10,Histories,15
Chase,Foreman,1,10,01x10,Histories,10
Foreman,Chase,1,10,01x10,Histories,10
Cuddy,House,1,10,01x10,Histories,9
House,Cuddy,1,10,01x10,Histories,8
Cameron,Chase,1,10,01x10,Histories,7
Chase,House,1,10,01x10,Histories,7
Student 1,House,1,10,01x10,Histories,7
Chase,Cameron,1,10,01x10,Histories,6
House,Student 1,1,10,01x10,Histories,6
Student 2,House,1,10,01x10,Histories,6
Jane,Foreman,1,10,01x10,Histories,5
House,Chase,1,10,01x10,Histories,5
Cameron,House,1,10,01x10,Histories,5
House,Student 2,1,10,01x10,Histories,5
House,Jodi,1,10,01x10,Histories,5
Foreman,Jane,1,10,01x10,Histories,4
Wilson,Chase,1,10,01x10,Histories,4
Foreman,Cameron,1,10,01x10,Histories,4
Cameron,Foreman,1,10,01x10,Histories,4
Chase,Wilson,1,10,01x10,Histories,4
Cameron,Wilson,1,10,01x10,Histories,4
Wilson,Cameron,1,10,01x10,Histories,4
Jodi,House,1,10,01x10,Histories,4
Emt,Foreman,1,10,01x10,Histories,4
Policeman,House,1,10,01x10,Histories,4
Bouncer,Jane,1,10,01x10,Histories,3
Jane,Bouncer,1,10,01x10,Histories,3
Chase,Jane,1,10,01x10,Histories,3
Foreman,Cuddy,1,10,01x10,Histories,3
House,Cameron,1,10,01x10,Histories,3
Foreman,Emt,1,10,01x10,Histories,3
House,Policeman,1,10,01x10,Histories,3
Jane,Tall Girl,1,10,01x10,Histories,2
Policeman 1,Policeman 2,1,10,01x10,Histories,2
Jane,Chase,1,10,01x10,Histories,2
Patient,Foreman,1,10,01x10,Histories,2
Cuddy,Foreman,1,10,01x10,Histories,2
Cuddy,Shelley,1,10,01x10,Histories,2
Wilson,Cuddy,1,10,01x10,Histories,2
