source,target,season,episode,episode_code,episode_title,weight
Foreman,House,1,1,01x01,Pilot,62
Cuddy,House,1,1,01x01,Pilot,61
Cameron,House,1,1,01x01,Pilot,42
House,Wilson,1,1,01x01,Pilot,36
Cameron,Foreman,1,1,01x01,Pilot,33
Cameron,Chase,1,1,01x01,Pilot,14
Foreman,Wilson,1,1,01x01,Pilot,13
Chase,House,1,1,01x01,Pilot,9
Chase,Foreman,1,1,01x01,Pilot,6
Chase,Wilson,1,1,01x01,Pilot,2
Cameron,Wilson,1,1,01x01,Pilot,1
House,Wilson,1,6,01x06,The Socratic Method,38
Cameron,House,1,6,01x06,The Socratic Method,36
Foreman,House,1,6,01x06,The Socratic Method,29
Cuddy,House,1,6,01x06,The Socratic Method,26
Chase,Foreman,1,6,01x06,The Socratic Method,20
Cameron,Chase,1,6,01x06,The Socratic Method,14
Chase,House,1,6,01x06,The Socratic Method,10
Foreman,Wilson,1,6,01x06,The Socratic Method,7
Cameron,Wilson,1,6,01x06,The Socratic Method,2
Chase,Wilson,1,6,01x06,The Socratic Method,1
Cameron,House,1,7,01x07,Fidelity,74
Foreman,House,1,7,01x07,Fidelity,45
House,Wilson,1,7,01x07,Fidelity,44
Chase,House,1,7,01x07,Fidelity,19
Chase,Foreman,1,7,01x07,Fidelity,15
Cameron,Chase,1,7,01x07,Fidelity,14
Cuddy,House,1,7,01x07,Fidelity,13
Cameron,Foreman,1,7,01x07,Fidelity,9
Foreman,Wilson,1,7,01x07,Fidelity,5
Chase,Wilson,1,7,01x07,Fidelity,5
Cameron,Wilson,1,7,01x07,Fidelity,3
Cuddy,Wilson,1,7,01x07,Fidelity,1
Foreman,House,1,8,01x08,Poison,54
Cameron,House,1,8,01x08,Poison,38
Cameron,Foreman,1,8,01x08,Poison,38
Chase,House,1,8,01x08,Poison,36
House,Wilson,1,8,01x08,Poison,13
Cuddy,House,1,8,01x08,Poison,9
Chase,Foreman,1,8,01x08,Poison,8
Cameron,Chase,1,8,01x08,Poison,2
Chase,Wilson,1,8,01x08,Poison,1
Cuddy,House,1,9,01x09,DNR,18
Foreman,House,1,9,01x09,DNR,17
Cameron,Foreman,1,9,01x09,DNR,4
Chase,Foreman,1,9,01x09,DNR,3
Chase,House,1,9,01x09,DNR,3
Foreman,House,1,10,01x10,Histories,64
House,Wilson,1,10,01x10,Histories,51
Foreman,Wilson,1,10,01x10,Histories,50
Chase,Foreman,1,10,01x10,Histories,20
Cuddy,House,1,10,01x10,Histories,17
Cameron,Chase,1,10,01x10,Histories,13
Chase,House,1,10,01x10,Histories,12
Chase,Wilson,1,10,01x10,Histories,8
Cameron,Foreman,1,10,01x10,Histories,8
Cameron,House,1,10,01x10,Histories,8
Cameron,Wilson,1,10,01x10,Histories,8
Cuddy,Foreman,1,10,01x10,Histories,5
Cuddy,Wilson,1,10,01x10,Histories,3
Cameron,House,1,11,01x11,Detox,64
Cuddy,House,1,11,01x11,Detox,50
House,Wilson,1,11,01x11,Detox,46
Chase,House,1,11,01x11,Detox,41
Foreman,House,1,11,01x11,Detox,36
Cameron,Foreman,1,11,01x11,Detox,19
Cameron,Chase,1,11,01x11,Detox,19
Chase,Foreman,1,11,01x11,Detox,13
Cuddy,Wilson,1,11,01x11,Detox,7
Cameron,Cuddy,1,11,01x11,Detox,6
Foreman,Wilson,1,11,01x11,Detox,4
Cuddy,Foreman,1,11,01x11,Detox,4
Cameron,Wilson,1,11,01x11,Detox,2
Chase,Wilson,1,11,01x11,Detox,1
Cuddy,House,1,12,01x12,Sport Medicine,50
House,Wilson,1,12,01x12,Sport Medicine,48
Cameron,House,1,12,01x12,Sport Medicine,43
Foreman,House,1,12,01x12,Sport Medicine,20
Cameron,Foreman,1,12,01x12,Sport Medicine,17
Chase,Foreman,1,12,01x12,Sport Medicine,16
Cameron,Chase,1,12,01x12,Sport Medicine,13
Chase,House,1,12,01x12,Sport Medicine,13
Chase,House,1,13,01x13,Cursed,60
House,Wilson,1,13,01x13,Cursed,29
Cameron,Chase,1,13,01x13,Cursed,21
Cameron,House,1,13,01x13,Cursed,19
Chase,Foreman,1,13,01x13,Cursed,15
Cuddy,House,1,13,01x13,Cursed,12
Foreman,House,1,13,01x13,Cursed,12
Cameron,Foreman,1,13,01x13,Cursed,9
Chase,Cuddy,1,13,01x13,Cursed,6
Cuddy,Foreman,1,13,01x13,Cursed,4
House,Wilson,1,14,01x14,Control,51
Cuddy,House,1,14,01x14,Control,36
Cameron,House,1,14,01x14,Control,32
Chase,House,1,14,01x14,Control,13
Cameron,Chase,1,14,01x14,Control,12
Cameron,Foreman,1,14,01x14,Control,10
Chase,Foreman,1,14,01x14,Control,7
Foreman,House,1,14,01x14,Control,4
Chase,House,1,15,01x15,Mob Rules,44
House,Wilson,1,15,01x15,Mob Rules,33
Foreman,House,1,15,01x15,Mob Rules,29
Cuddy,House,1,15,01x15,Mob Rules,25
Cameron,Chase,1,15,01x15,Mob Rules,22
Cameron,House,1,15,01x15,Mob Rules,18
Cameron,Foreman,1,15,01x15,Mob Rules,17
Chase,Foreman,1,15,01x15,Mob Rules,10
Cameron,House,1,16,01x16,Heavy,55
Foreman,House,1,16,01x16,Heavy,40
Cameron,Chase,1,16,01x16,Heavy,34
Chase,Foreman,1,16,01x16,Heavy,27
House,Wilson,1,16,01x16,Heavy,26
Chase,House,1,16,01x16,Heavy,22
Cuddy,House,1,16,01x16,Heavy,19
Cameron,Foreman,1,16,01x16,Heavy,6
Foreman,Wilson,1,16,01x16,Heavy,4
Cameron,Cuddy,1,16,01x16,Heavy,2
Cameron,House,1,17,01x17,Role Model,43
Cuddy,House,1,17,01x17,Role Model,38
House,Wilson,1,17,01x17,Role Model,31
Chase,House,1,17,01x17,Role Model,23
Foreman,House,1,17,01x17,Role Model,21
Foreman,Wilson,1,17,01x17,Role Model,4
Cameron,Chase,1,17,01x17,Role Model,4
Chase,Foreman,1,17,01x17,Role Model,2
Chase,Cuddy,1,17,01x17,Role Model,2
Chase,Wilson,1,17,01x17,Role Model,2
Cameron,Wilson,1,17,01x17,Role Model,2
Cuddy,Wilson,1,17,01x17,Role Model,1
Cameron,Foreman,1,17,01x17,Role Model,1
Chase,Foreman,1,18,01x18,Babies & Bathwater,45
Cuddy,House,1,18,01x18,Babies & Bathwater,41
Foreman,House,1,18,01x18,Babies & Bathwater,39
House,Wilson,1,18,01x18,Babies & Bathwater,26
Chase,House,1,18,01x18,Babies & Bathwater,21
Chase,Wilson,1,18,01x18,Babies & Bathwater,1
Foreman,Wilson,1,18,01x18,Babies & Bathwater,1
House,Wilson,1,19,01x19,Kids,49
Foreman,House,1,19,01x19,Kids,45
Cameron,House,1,19,01x19,Kids,44
Cuddy,House,1,19,01x19,Kids,39
Chase,House,1,19,01x19,Kids,39
Chase,Foreman,1,19,01x19,Kids,28
Chase,Wilson,1,19,01x19,Kids,3
Foreman,Wilson,1,19,01x19,Kids,2
Cuddy,Wilson,1,19,01x19,Kids,1
Chase,Cuddy,1,19,01x19,Kids,1
Cameron,House,1,20,01x20,Love Hurts,38
House,Wilson,1,20,01x20,Love Hurts,32
Chase,House,1,20,01x20,Love Hurts,32
Foreman,House,1,20,01x20,Love Hurts,32
Cameron,Chase,1,20,01x20,Love Hurts,27
Chase,Foreman,1,20,01x20,Love Hurts,19
Cameron,Foreman,1,20,01x20,Love Hurts,19
Cuddy,House,1,20,01x20,Love Hurts,10
Cameron,Wilson,1,20,01x20,Love Hurts,6
Foreman,Wilson,1,20,01x20,Love Hurts,3
House,Stacy,1,21,01x21,Three Stories,52
Cuddy,House,1,21,01x21,Three Stories,27
Cameron,House,1,21,01x21,Three Stories,20
Cuddy,Stacy,1,21,01x21,Three Stories,16
Chase,Foreman,1,21,01x21,Three Stories,14
Foreman,House,1,21,01x21,Three Stories,10
House,Wilson,1,21,01x21,Three Stories,7
Cameron,Chase,1,21,01x21,Three Stories,3
Chase,House,1,21,01x21,Three Stories,3
Cameron,Foreman,1,21,01x21,Three Stories,1
House,Stacy,1,22,01x22,Honeymoon,108
Cameron,House,1,22,01x22,Honeymoon,48
Foreman,House,1,22,01x22,Honeymoon,36
Chase,House,1,22,01x22,Honeymoon,21
Cameron,Stacy,1,22,01x22,Honeymoon,19
Chase,Foreman,1,22,01x22,Honeymoon,14
House,Wilson,1,22,01x22,Honeymoon,12
Cameron,Foreman,1,22,01x22,Honeymoon,5
Foreman,Stacy,1,22,01x22,Honeymoon,5
Cuddy,House,1,22,01x22,Honeymoon,5
Chase,Stacy,1,22,01x22,Honeymoon,3
Cameron,Chase,1,22,01x22,Honeymoon,2
Foreman,House,2,1,02x01,Acceptance,58
Cameron,House,2,1,02x01,Acceptance,49
House,Stacy,2,1,02x01,Acceptance,38
Cuddy,House,2,1,02x01,Acceptance,33
Chase,House,2,1,02x01,Acceptance,26
House,Wilson,2,1,02x01,Acceptance,15
Chase,Foreman,2,1,02x01,Acceptance,14
Cameron,Wilson,2,1,02x01,Acceptance,13
Cameron,Chase,2,1,02x01,Acceptance,4
Cuddy,Stacy,2,1,02x01,Acceptance,3
